id,name,category,tags
1,Wireless Bluetooth Headphones,Electronics,bluetooth audio wireless noise-cancelling music
2,Noise Cancelling Earbuds,Electronics,bluetooth audio wireless earbuds compact music
3,Over-Ear Studio Headphones,Electronics,audio wired studio professional music
4,Portable Bluetooth Speaker,Electronics,bluetooth audio speaker portable outdoor
5,USB-C Fast Charger,Electronics,charging cable usb-c fast power
6,Running Shoes,Sports,running fitness outdoor lightweight breathable
7,Yoga Mat,Sports,yoga fitness exercise non-slip indoor
8,Resistance Bands Set,Sports,fitness exercise strength training home gym
9,Cycling Gloves,Sports,cycling outdoor fitness grip sports
10,Water Bottle 1L,Sports,hydration outdoor fitness gym
11,Python Programming Book,Books,programming coding python learning beginner
12,Data Science Handbook,Books,data science python machine learning analytics
13,Clean Code Book,Books,programming software engineering best practices
14,The Pragmatic Programmer,Books,programming software career best practices
15,Machine Learning Yearning,Books,machine learning AI deep learning guide
16,Face Wash Gel,Beauty,skincare face wash gel cleansing daily
17,Vitamin C Serum,Beauty,skincare serum vitamin-c brightening anti-aging
18,Moisturising Sunscreen SPF50,Beauty,skincare sunscreen moisturiser daily protection
19,Lip Balm Pack,Beauty,skincare lips hydration daily care
20,Night Cream,Beauty,skincare face night moisturiser anti-aging
21,Adjustable Cotton Yoga Strap,Fitness & Wellness,"yoga strap, stretching, flexibility, cotton, adjustable, exercise, support, fitness"
22,intel i5 chip,Electronics and Technology,"Intel's premier mainstream processor, balancing price and performance for gaming, content creation, and everyday multitasking"
23,Ryzen 7,Electronics and Technology,"High-performance, geared toward heavy multitasking, streaming, and premium gaming"
24,Mechanical Gaming Keyboard,Electronics,keyboard mechanical gaming rgb wired typing
25,Ergonomic Office Chair,Furniture,office chair ergonomic lumbar support mesh comfort
26,Gourmet Coffee Beans 1kg,Groceries,coffee beans arabica dark roast beverage morning
27,Stainless Steel Chef Knife,Kitchen,kitchen knife chef stainless steel cooking sharp
28,Hydrating Sheet Mask Pack,Beauty,skincare sheet-mask hydration brightening self-care
29,Trail Running Backpack,Sports,backpack outdoor running hydration hiking lightweight
